ID,가격(백만원)
TEST_000,130.50236169423997
TEST_001,80.15144959785968
TEST_002,65.13468275863687
TEST_003,34.23768258345927
TEST_004,48.41872390586028
TEST_005,96.62758501800991
TEST_006,22.401148318477794
TEST_007,40.05008581381623
TEST_008,81.02009953539192
TEST_009,24.107108176670486
TEST_010,63.995674865656866
TEST_011,62.50563519758111
TEST_012,40.86898380045176
TEST_013,99.89226454124206
TEST_014,90.8358153998767
TEST_015,22.731472024514005
TEST_016,124.02257235864202
TEST_017,52.69939110335436
TEST_018,60.017425641168806
TEST_019,34.776119575514144
TEST_020,37.92787516824738
TEST_021,159.59182635094
TEST_022,46.58183481285583
TEST_023,55.810674012628475
TEST_024,23.329302159027414
TEST_025,48.140747252408424
TEST_026,78.88785284042312
TEST_027,79.66803968287336
TEST_028,28.007475207230133
TEST_029,123.91976787826101
TEST_030,64.07324904317497
TEST_031,40.665142089785526
TEST_032,114.24304489276702
TEST_033,88.6834961397734
TEST_034,36.03373836039092
TEST_035,79.9919768910707
TEST_036,21.32623166836321
TEST_037,39.50463017723219
TEST_038,24.68994075753157
TEST_039,120.89543608600633
TEST_040,129.61880261279708
TEST_041,19.219655956825193
TEST_042,118.7597975431581
TEST_043,60.6505340572424
TEST_044,23.12797451764434
TEST_045,99.89685079017994
TEST_046,22.498383449592275
TEST_047,73.90533241705421
TEST_048,62.524765261977315
TEST_049,78.04789839238225
TEST_050,35.788526225303684
TEST_051,17.3973399651123
TEST_052,38.990079444586726
TEST_053,124.96310215969393
TEST_054,23.777697499968635
TEST_055,28.05499944254644
TEST_056,155.2825940594564
TEST_057,41.42969760675981
TEST_058,159.3337696264551
TEST_059,40.92521852465578
TEST_060,55.96362559311968
TEST_061,123.00107976304022
TEST_062,40.790598616901434
TEST_063,120.67671543080102
TEST_064,39.98617966086106
TEST_065,34.18853134029889
TEST_066,72.25747550963332
TEST_067,50.99447710673294
TEST_068,99.99597677348058
TEST_069,23.65176187329516
TEST_070,48.454200653166154
TEST_071,28.14053811061218
TEST_072,64.40308532997808
TEST_073,38.8660084866941
TEST_074,130.22057343296993
TEST_075,23.652969677560684
TEST_076,41.94465962437154
TEST_077,120.7909500719242
TEST_078,159.5695328937013
TEST_079,80.0976740688953
TEST_080,27.682506347597307
TEST_081,41.49880521266828
TEST_082,18.124368032657326
TEST_083,33.88111394403371
TEST_084,34.19087442510341
TEST_085,40.12813279521236
TEST_086,57.43223871488693
TEST_087,88.35595565628665
TEST_088,65.22010211506918
TEST_089,53.720941598137664
TEST_090,40.53244986942933
TEST_091,70.40813758715014
TEST_092,16.712348490465825
TEST_093,80.06370352986053
TEST_094,21.98531023537188
TEST_095,24.781964904846426
TEST_096,65.43213076860678
TEST_097,127.71002157323036
TEST_098,65.57709700495319
TEST_099,97.5757906580734
TEST_100,126.10693053879157
TEST_101,28.14053811061218
TEST_102,74.46353202251814
TEST_103,40.02170046949703
TEST_104,23.996368148150335
TEST_105,22.899013083724622
TEST_106,100.69580919541305
TEST_107,104.28292938130375
TEST_108,23.970209113902804
TEST_109,34.977353021735055
TEST_110,52.572753934427226
TEST_111,34.39151022754048
TEST_112,24.89311427549442
TEST_113,24.732423203777735
TEST_114,34.225565483543186
TEST_115,21.183326814583975
TEST_116,64.14178239016015
TEST_117,118.76940005247783
TEST_118,155.46619462661488
TEST_119,47.48981079705303
TEST_120,64.30610529810961
TEST_121,37.66288121056811
TEST_122,159.53903542347976
TEST_123,60.78020432442764
TEST_124,13.785782709309068
TEST_125,37.933874134547075
TEST_126,71.79621103490337
TEST_127,79.90341723863399
TEST_128,28.377155451384606
